title,subtitle,link
TOTELY GREAT,Get £30 in free bets and 20 free spins when you stake £10 on football at Tote,https://www.thesun.co.uk/sport/28173646/tote-welcome-bonus-free-bets-offer-promo-code/
SPACE INVADER,Chelsea star’s stunning model Wag captured ‘best UFO footage ever’,https://www.thesun.co.uk/sport/35856297/chelsea-joao-felix-wag-best-ufo-alien/
SPURRED ON,"Championship club confirm plans for 60,000 stadium with feature used by Spurs",https://www.thesun.co.uk/sport/35837314/birmingham-new-stadium-spurs-track/
TAKE YOUR VIK,Arsenal's Viktor Gyokeres transfer 'at serious risk of complete collapse',https://www.thesun.co.uk/sport/35847916/arsenal-viktor-gyokeres-transfer-sporting/
HUGO BOSS,Newcastle submit club record £69.5m bid for Frankfurt star Hugo Ekitike,https://www.thesun.co.uk/sport/35844633/newcastle-hugo-ekitike-transfer-bid-eintracht-frankfurt/
TOP TRUMPS,Donald Trump spotted pocketing Club World Cup winners medal on stage,https://www.thesun.co.uk/sport/35868060/donald-trump-pocket-club-world-cup-medal/
RATED,Best online casinos | Top UK casino sites (July 2025),https://www.thesun.co.uk/betting/32855412/best-online-casinos-uk/
CASI-YES,Best casino apps: Top 10 mobile casinos in the UK (2025),https://www.thesun.co.uk/betting/33044287/best-casino-apps-uk/
SLOT STAR,Best slot sites in the UK: Top online slots casinos in 2025,https://www.thesun.co.uk/betting/33374504/best-slot-sites-uk/
BLUE MOVES,How Maresca can fit £190m new strikers into his Chelsea team next season,https://www.thesun.co.uk/sport/35775235/maresca-chelsea-striker-tactics-delap-joao-pedro-estevao-gittens/
TAKING THE KP,England legend Pietersen trolls Arsenal after Chelsea's Club World Cup glory,https://www.thesun.co.uk/sport/35838094/kevin-pietersen-chelsea-trolls-arsenal-club-world-cup/
RASH DEAL,Liverpool 'consider' Rashford move claims shock report as saga takes fresh twist,https://www.thesun.co.uk/sport/35865365/marcus-rashford-liverpool-transfer-man-utd/
BIT THE DUST,Man Utd blow as bargain striker target snubs Old Trafford move,https://www.thesun.co.uk/sport/35823595/man-utd-dusan-vlahovic-juventus/
MARC'D MAN,Liverpool to make 'take-it-or-leave-it' offer for Crystal Palace star Marc Guehi,https://www.thesun.co.uk/sport/35820705/liverpool-marc-guehi-transfer-bid-crystal-palace/
UNITED LATEST,"Brentford 'RAISE Mbeumo price', Utd 'eye Jackson', Estupinan 'interest'",https://www.thesun.co.uk/sport/35383362/man-utd-transfer-news-live-mbeumo-palhinha-jackson-updates/
GUNNERS LATEST,"Gyokeres 'set for MEDICAL', Madueke IMMINENT, Nwaneri agrees NEW contract",https://www.thesun.co.uk/sport/35382625/arsenal-transfer-news-live-gyokeres-medical-madueke-updates/
DEAL PENDING,Man Utd keeper wanted by Championship side as Reds face stopper crisis,https://www.thesun.co.uk/sport/35823170/man-utd-goalkeeper-millwall-radek-vitek/
BEING FRANK,Udogie appears to accidentally leak new Spurs tactic with stars 'auditioning',https://www.thesun.co.uk/sport/35844293/destiny-udogie-new-tottenham-tactic-thomas-frank-brentford/
BARN STORMER,Little-known Chelsea ace who was recently at BARNSLEY celebrates with glam Wag,https://www.thesun.co.uk/sport/35843643/chelsea-gabriel-slonina-girlfriend-club-world-cup-barnsley/
OH NO-NA,Man Utd in huge transfer dilemma as Andre Onana ruled out of US tour,https://www.thesun.co.uk/sport/35816300/man-utd-andre-onana-injury-transfer-dilemma/
CATS OUT THE BAG,Sunderland ready to make wonderkid Rigg one of Prem's best-paid youngsters,https://www.thesun.co.uk/sport/35819617/sunderland-chris-rigg-pay-rise-transfer-exclusive/
ARE YOU MAD?,Rio brands Arsenal fans 'utter disgrace' over petition to not sign Madueke,https://www.thesun.co.uk/sport/35818045/ferdinand-arsenal-disgrace-petition-madueke/
ANDREW DILLON,The silence over Enzo Fernandez racism row is deafening a year on,https://www.thesun.co.uk/sport/35605860/chelsea-enzo-fernandez-racism-row-update/
DAVE KIDD,Beckham deserves knighthood for changing working-class English lads forever,https://www.thesun.co.uk/sport/35432104/david-beckham-knighthood-working-class/
KARREN BRADY,Fans will see even more rule changes next season - when will this ever end?,https://www.thesun.co.uk/sport/35099462/premier-league-rule-changes-football-rules-karren-brady/
